name,location,area,urlinf,imginf
湯ノ花温泉（ゆのはな）,京都府,近畿,https://www.yukoyuko.net/onsen/0370,https://static.yukoyuko.net/images/onsen/onsen_0370_0001.jpg
杖立温泉（つえだて）,熊本県,九州,https://www.yukoyuko.net/onsen/0381,https://static.yukoyuko.net/images/onsen/onsen_0381_0001.jpg
人吉温泉（ひとよし）,熊本県,九州,https://www.yukoyuko.net/onsen/0382,https://static.yukoyuko.net/images/onsen/onsen_0382_0001.jpg
古湯温泉（ふるゆ）,佐賀県,九州,https://www.yukoyuko.net/onsen/0436,https://static.yukoyuko.net/images/onsen/onsen_0436_0001.jpg
梅ヶ島温泉（うめがしま）,静岡県,中部,https://www.yukoyuko.net/onsen/0445,https://static.yukoyuko.net/images/onsen/onsen_0445_0001.jpg
大川温泉（おおかわ）,静岡県,中部,https://www.yukoyuko.net/onsen/0446,https://static.yukoyuko.net/images/onsen/onsen_0446_0001.jpg
畑毛温泉（はたけ）,静岡県,中部,https://www.yukoyuko.net/onsen/0455,https://static.yukoyuko.net/images/onsen/onsen_0455_0001.jpg
北川温泉（ほっかわ）,静岡県,中部,https://www.yukoyuko.net/onsen/0458,https://static.yukoyuko.net/images/onsen/onsen_0458_0001.jpg
池の平温泉（いけのたいら）,長野県,中部,https://www.yukoyuko.net/onsen/0568,https://static.yukoyuko.net/images/onsen/onsen_0568_0001.jpg
湯田上温泉（ゆだがみ）,新潟県,中部,https://www.yukoyuko.net/onsen/0605,https://static.yukoyuko.net/images/onsen/onsen_0605_0001.jpg
